Index	Sample	Type	Method	Probability	Lower CI	Upper CI	Metagene
0	GFP-1	train0	FITTED	0.0315964	0.0	0.2221641	-3.514705
1	GFP-2	train0	FITTED	0.0328722	0.0	0.2262332	-3.4548741
2	GFP-3	train0	FITTED	0.0344757	0.0	0.2311441	-3.3835037
3	GFP-4	train0	FITTED	0.0270378	0.0	0.2062649	-3.7549878
4	GFP-5	train0	FITTED	0.0409835	0.0	0.2490934	-3.1298175
5	GFP-7	train0	FITTED	0.0377462	0.0	0.2405297	-3.2495064
6	GFP-8	train0	FITTED	0.0318445	0.0	0.222967	-3.5028477
7	GFP-10	train0	FITTED	0.0446809	0.0	0.2578349	-3.0060747
8	PI3K-1	train1	FITTED	0.9490191	0.7493512	1.0	2.9501812
9	PI3K-2	train1	FITTED	0.9491233	0.7495402	1.0	2.9528679
10	PI3K-4	train1	FITTED	0.9355434	0.7270925	1.0	2.6468366
11	PI3K-5	train1	FITTED	0.9423527	0.7379642	1.0	2.7901944
12	PI3K-6	train1	FITTED	0.9449761	0.7422894	1.0	2.8505372
13	PI3K-7	train1	FITTED	0.9530702	0.7581326	1.0	3.059482
14	PI3K-8	train1	FITTED	0.9500436	0.7512248	1.0	2.976861
15	PI3K-9	train1	FITTED	0.9458051	0.7436965	1.0	2.8702788
16	PI3K-10	train1	FITTED	0.9572278	0.7666485	1.0	3.1835657
0	GFP-1	train0	PREDICTED	0.0279547	0.0	0.2094521	-2.9213543
1	GFP-2	train0	PREDICTED	0.0254415	0.0	0.2088445	-7.5193332
2	GFP-3	train0	PREDICTED	0.0524576	0.0	0.2980603	-2.3806285
3	GFP-4	train0	PREDICTED	0.0312962	0.0	0.2088718	-2.6553811
4	GFP-5	train0	PREDICTED	0.0379051	0.0	0.2415757	-3.1112954
5	GFP-7	train0	PREDICTED	0.0527608	4.7e-06	0.2588218	-2.1173811
6	GFP-8	train0	PREDICTED	0.0357757	0.0	0.2273028	-2.8191641
7	GFP-10	train0	PREDICTED	0.0613386	0.0	0.2879973	-2.0675014
8	PI3K-1	train1	PREDICTED	0.9426595	0.7175336	0.9999959	2.0911866
9	PI3K-2	train1	PREDICTED	0.9429644	0.7202636	1.0	2.5129529
10	PI3K-4	train1	PREDICTED	0.9442784	0.7203434	0.999999	2.1827466
11	PI3K-5	train1	PREDICTED	0.9581588	0.7560746	0.9999996	2.4948893
12	PI3K-6	train1	PREDICTED	0.9711509	0.7716701	1.0	3.1746324
13	PI3K-7	train1	PREDICTED	0.9467103	0.7003089	1.0	2.4965121
14	PI3K-8	train1	PREDICTED	0.9836125	0.8576367	1.0	5.4762467
15	PI3K-9	train1	PREDICTED	0.9346459	0.6812675	0.9999831	1.9515488
16	PI3K-10	train1	PREDICTED	0.9675313	0.7631952	1.0	3.0021395
17	184A1	test	PREDICTED	0.0641271	0.0	0.3127047	-2.5505883
18	184B5	test	PREDICTED	0.0584843	0.0	0.3022724	-2.6788443
19	21MT1	test	PREDICTED	0.1777275	0.000279	0.4617053	-1.1969272
20	21MT2	test	PREDICTED	0.1363318	4.4e-06	0.4169024	-1.5438986
21	21NT	test	PREDICTED	0.2169887	0.0032872	0.5010221	-0.9388992
22	21PT	test	PREDICTED	0.2062665	0.0018775	0.4867124	-1.0037485
23	600MPE	test	PREDICTED	0.9322239	0.7005524	1.0	2.6010592
24	AU565	test	PREDICTED	0.7304055	0.4597838	0.9978171	0.8282414
25	BT474	test	PREDICTED	0.9197248	0.6781393	1.0	2.384555
26	BT483	test	PREDICTED	0.8140197	0.548445	0.9999933	1.3155139
27	BT549	test	PREDICTED	0.840143	0.5802912	0.9999996	1.5111647
28	CAMA1	test	PREDICTED	0.9188308	0.6766476	1.0	2.3704745
29	EFM192A	test	PREDICTED	0.875582	0.6170736	1.0	1.8304805
30	EFM192B	test	PREDICTED	0.8261425	0.5641233	0.9999981	1.4029449
31	EFM192C	test	PREDICTED	0.8434515	0.5829546	0.9999998	1.5380098
