Index	Sample	Type	Method	Probability	Lower CI	Upper CI	Metagene
0	GFP-1	train0	FITTED	0.0292463	0.0	0.2128933	-3.6184179
1	GFP-2	train0	FITTED	0.0328228	0.0	0.2242539	-3.4427042
2	GFP-3	train0	FITTED	0.0320013	0.0	0.2217522	-3.4809519
3	GFP-4	train0	FITTED	0.0244349	0.0	0.1953533	-3.9008237
4	GFP-5	train0	FITTED	0.0516931	0.0	0.2703271	-2.7878331
5	GFP-7	train0	FITTED	0.034453	0.0	0.2290911	-3.370105
6	GFP-8	train0	FITTED	0.0274394	0.0	0.206645	-3.7173818
7	GFP-10	train0	FITTED	0.0552776	0.0	0.2772247	-2.6954389
8	PI3K-1	train1	FITTED	0.944472	0.7374909	1.0	2.8351649
9	PI3K-2	train1	FITTED	0.9514348	0.7534976	1.0	3.0102238
10	PI3K-4	train1	FITTED	0.9448115	0.7382311	1.0	2.8431098
11	PI3K-5	train1	FITTED	0.9414679	0.7321366	1.0	2.7671505
12	PI3K-6	train1	FITTED	0.9425023	0.7337915	1.0	2.7901208
13	PI3K-7	train1	FITTED	0.9517178	0.7541881	1.0	3.0179361
14	PI3K-8	train1	FITTED	0.9490211	0.7477425	1.0	2.9464778
15	PI3K-9	train1	FITTED	0.9439404	0.7363396	1.0	2.8228337
16	PI3K-10	train1	FITTED	0.9594592	0.7700139	1.0	3.2517844
0	GFP-1	train0	PREDICTED	0.0268353	0.0	0.2079789	-2.9917843
1	GFP-2	train0	PREDICTED	0.0252733	0.0	0.2141639	-7.5423344
2	GFP-3	train0	PREDICTED	0.0477059	0.0	0.2873074	-2.5002709
3	GFP-4	train0	PREDICTED	0.0271913	0.0	0.1962153	-2.8277596
4	GFP-5	train0	PREDICTED	0.042297	0.0	0.2567619	-2.8840064
5	GFP-7	train0	PREDICTED	0.0495088	2.4e-06	0.2514896	-2.1791029
6	GFP-8	train0	PREDICTED	0.0336485	0.0	0.2217495	-2.9044878
7	GFP-10	train0	PREDICTED	0.0797114	8e-07	0.3235736	-1.8037813
8	PI3K-1	train1	PREDICTED	0.9362982	0.697938	0.9999897	1.9954503
9	PI3K-2	train1	PREDICTED	0.9602693	0.7564384	1.0	3.0294473
10	PI3K-4	train1	PREDICTED	0.9512427	0.7364206	0.9999998	2.3219637
11	PI3K-5	train1	PREDICTED	0.9551456	0.7494293	0.9999994	2.4267328
12	PI3K-6	train1	PREDICTED	0.9682461	0.7646771	1.0	3.0382951
13	PI3K-7	train1	PREDICTED	0.9454843	0.7001353	1.0	2.4634744
14	PI3K-8	train1	PREDICTED	0.9819895	0.8488829	1.0	5.3302577
15	PI3K-9	train1	PREDICTED	0.930865	0.676819	0.999969	1.8978548
16	PI3K-10	train1	PREDICTED	0.9704484	0.769197	1.0	3.1780996
17	184A1	test	PREDICTED	0.2346917	0.0077318	0.5152605	-0.8356872
18	184B5	test	PREDICTED	0.177364	0.0003017	0.4600828	-1.1931317
19	21MT1	test	PREDICTED	0.3249831	0.0741454	0.5643411	-0.4539323
20	21MT2	test	PREDICTED	0.3007917	0.0443446	0.5500711	-0.5410008
21	21NT	test	PREDICTED	0.350033	0.1045068	0.5847103	-0.3715459
22	21PT	test	PREDICTED	0.3349324	0.0833358	0.5707071	-0.4203816
23	600MPE	test	PREDICTED	0.3686187	0.1264541	0.5964546	-0.3143473
24	AU565	test	PREDICTED	0.8459511	0.5850759	0.9999998	1.55801
25	BT474	test	PREDICTED	0.825831	0.5640736	0.9999978	1.4003634
26	BT483	test	PREDICTED	0.5705089	0.3116446	0.859931	0.2394502
27	BT549	test	PREDICTED	0.7494845	0.4760561	0.9991477	0.9252824
28	CAMA1	test	PREDICTED	0.8484355	0.5877105	0.9999999	1.5787752
29	EFM192A	test	PREDICTED	0.8660897	0.6063905	1.0	1.7362051
30	EFM192B	test	PREDICTED	0.8892229	0.6322177	1.0	1.9755458
31	EFM192C	test	PREDICTED	0.89309	0.6370987	1.0	2.0202754
32	HCC1143	test	PREDICTED	0.2368733	0.0082364	0.516602	-0.824239
33	HCC1395	test	PREDICTED	0.8042759	0.5380206	0.9999814	1.2490137
34	HCC1419	test	PREDICTED	0.8064682	0.5395406	0.9999848	1.2636881
35	HCC1428	test	PREDICTED	0.8380972	0.5780458	0.9999995	1.4943397
36	HCC1569	test	PREDICTED	0.6610314	0.3886612	0.9735099	0.5342024
37	HCC1599	test	PREDICTED	0.5883596	0.3240353	0.8927359	0.2921718
38	HCC1806	test	PREDICTED	0.2374451	0.0084445	0.5169509	-0.8212613
39	HCC1937	test	PREDICTED	0.1584438	6.46e-05	0.4412781	-1.3398699
40	HCC1954	test	PREDICTED	0.2687356	0.0232686	0.5329218	-0.6716029
41	HCC202	test	PREDICTED	0.5575329	0.3028454	0.8329083	0.2022726
42	HCC2218	test	PREDICTED	0.702293	0.4344281	0.9925996	0.7000097
43	HCC3153	test	PREDICTED	0.2343542	0.0076599	0.5150514	-0.8374709
44	HCC38	test	PREDICTED	0.758975	0.4893213	0.9994983	0.9760525
45	HCC70	test	PREDICTED	0.4170455	0.1708507	0.6278861	-0.1760093
46	HS578T	test	PREDICTED	0.6841003	0.4133004	0.9864403	0.6237571
47	JIMT1	test	PREDICTED	0.4319087	0.1817978	0.6406999	-0.1356052
48	LY2	test	PREDICTED	0.8382136	0.5781391	0.9999995	1.4952624
49	MB157	test	PREDICTED	0.1417083	1.08e-05	0.4266136	-1.4853281
50	MCF10A	test	PREDICTED	0.2669713	0.0225887	0.5310833	-0.6793999
51	MCF10F	test	PREDICTED	0.0898898	0.0	0.3529343	-2.0822054
52	MCF12A	test	PREDICTED	0.5371555	0.2841185	0.7861388	0.1454543
53	MCF7	test	PREDICTED	0.8493868	0.5884904	0.9999999	1.5868106
54	MDAMB134VI	test	PREDICTED	0.7592778	0.4895761	0.9995071	0.9777052
55	MDAMB175	test	PREDICTED	0.3195	0.0663951	0.5610086	-0.4729458
56	MDAMB231	test	PREDICTED	0.6273055	0.3590643	0.9436499	0.4154083
57	MDAMB361	test	PREDICTED	0.6887923	0.4186882	0.9884267	0.6429205
58	MX1	test	PREDICTED	0.2217978	0.0044515	0.5031882	-0.9062716
59	SKBR3	test	PREDICTED	0.8287943	0.5684714	0.9999984	1.4224975
60	SUM1315	test	PREDICTED	0.8287965	0.5684737	0.9999984	1.4225141
61	SUM149PT	test	PREDICTED	0.2808385	0.0289182	0.5379695	-0.619937
62	SUM225CWN	test	PREDICTED	0.4529469	0.2091325	0.6538217	-0.0793345
63	SUM229PE	test	PREDICTED	0.3498649	0.1043136	0.5845747	-0.3720771
64	SUM52PE	test	PREDICTED	0.5619455	0.3060311	0.8419971	0.2148181
65	T47D	test	PREDICTED	0.8053294	0.5386436	0.9999831	1.2560462
66	T47D Kbluc	test	PREDICTED	0.8006326	0.5351414	0.999974	1.2249595
67	UACC812	test	PREDICTED	0.8288153	0.5684933	0.9999984	1.422655
68	UACC893	test	PREDICTED	0.8048158	0.5383395	0.9999823	1.2526136
69	ZR751	test	PREDICTED	0.8356839	0.5761238	0.9999993	1.4753456
70	ZR7530	test	PREDICTED	0.6497794	0.3772507	0.9651936	0.4930999
71	ZR75B	test	PREDICTED	0.9103189	0.6608459	1.0	2.2416481
