Index	Sample	Type	Method	Probability	Lower CI	Upper CI	Metagene
0	GFP-1	train0	FITTED	0.0295983	0.0	0.2137705	-3.5951238
1	GFP-2	train0	FITTED	0.0330931	0.0	0.2247364	-3.4257185
2	GFP-3	train0	FITTED	0.0324998	0.0	0.222914	-3.4529168
3	GFP-4	train0	FITTED	0.0247271	0.0	0.1963468	-3.87654
4	GFP-5	train0	FITTED	0.0502282	0.0	0.267496	-2.8238733
5	GFP-7	train0	FITTED	0.0344754	0.0	0.2288648	-3.3645661
6	GFP-8	train0	FITTED	0.0277186	0.0	0.2073895	-3.6965649
7	GFP-10	train0	FITTED	0.0540037	0.0	0.2750231	-2.7237182
8	PI3K-1	train1	FITTED	0.9446777	0.7379875	1.0	2.8332078
9	PI3K-2	train1	FITTED	0.952085	0.7544349	1.0	3.0209293
10	PI3K-4	train1	FITTED	0.9456672	0.7401657	1.0	2.8565783
11	PI3K-5	train1	FITTED	0.9409964	0.7313783	1.0	2.7502178
12	PI3K-6	train1	FITTED	0.9420251	0.7329885	1.0	2.7728118
13	PI3K-7	train1	FITTED	0.9519008	0.7540883	1.0	3.0158689
14	PI3K-8	train1	FITTED	0.9480194	0.7454803	1.0	2.9141185
15	PI3K-9	train1	FITTED	0.9442957	0.7371555	1.0	2.8243127
16	PI3K-10	train1	FITTED	0.9593623	0.7692673	1.0	3.2411104
0	GFP-1	train0	PREDICTED	0.027101	0.0	0.2090765	-2.9788339
1	GFP-2	train0	PREDICTED	0.0256926	0.0	0.2156056	-7.478623
2	GFP-3	train0	PREDICTED	0.0484176	0.0	0.288901	-2.4824094
3	GFP-4	train0	PREDICTED	0.0273267	0.0	0.1958589	-2.8199021
4	GFP-5	train0	PREDICTED	0.0410822	0.0	0.2511786	-2.926559
5	GFP-7	train0	PREDICTED	0.0496194	2.5e-06	0.2513276	-2.1758767
6	GFP-8	train0	PREDICTED	0.0338143	0.0	0.2214319	-2.8967704
7	GFP-10	train0	PREDICTED	0.0781219	7e-07	0.3203226	-1.8239172
8	PI3K-1	train1	PREDICTED	0.9369358	0.6984697	0.9999904	2.0043031
