Index	Sample	Type	Method	Probability	Lower CI	Upper CI	Metagene
0	GFP-1	train0	FITTED	0.0305808	0.0	0.2191423	-3.5473113
1	GFP-2	train0	FITTED	0.0337053	0.0	0.2289922	-3.4004305
2	GFP-3	train0	FITTED	0.0332939	0.0	0.2277737	-3.41881
3	GFP-4	train0	FITTED	0.0249083	0.0	0.1982606	-3.8670329
4	GFP-5	train0	FITTED	0.0484266	0.0	0.2651981	-2.8769089
5	GFP-7	train0	FITTED	0.0347483	0.0	0.2320193	-3.355006
6	GFP-8	train0	FITTED	0.0275424	0.0	0.2084456	-3.7086492
7	GFP-10	train0	FITTED	0.0513124	0.0	0.2710182	-2.7963416
8	PI3K-1	train1	FITTED	0.9456886	0.7398308	1.0	2.8579766
9	PI3K-2	train1	FITTED	0.9491312	0.7472118	1.0	2.9432498
10	PI3K-4	train1	FITTED	0.9457207	0.7399022	1.0	2.8587444
11	PI3K-5	train1	FITTED	0.9423526	0.7335689	1.0	2.7809772
12	PI3K-6	train1	FITTED	0.944423	0.7370487	1.0	2.8281551
13	PI3K-7	train1	FITTED	0.9516356	0.7517583	1.0	3.0095261
14	PI3K-8	train1	FITTED	0.9472619	0.7433665	1.0	2.8961644
15	PI3K-9	train1	FITTED	0.9442981	0.7367769	1.0	2.8252519
16	PI3K-10	train1	FITTED	0.959277	0.7671796	1.0	3.2391722
0	GFP-1	train0	PREDICTED	0.0278943	0.0	0.2105258	-2.9378536
1	GFP-2	train0	PREDICTED	0.0264062	0.0	0.2188456	-7.3658572
2	GFP-3	train0	PREDICTED	0.0488446	0.0	0.2904528	-2.4715048
3	GFP-4	train0	PREDICTED	0.0275575	0.0	0.1951541	-2.8055557
4	GFP-5	train0	PREDICTED	0.0384351	0.0	0.2421289	-3.0266059
5	GFP-7	train0	PREDICTED	0.0497425	2.9e-06	0.2522106	-2.1717954
6	GFP-8	train0	PREDICTED	0.0331185	0.0	0.2187887	-2.9203935
7	GFP-10	train0	PREDICTED	0.0760461	5e-07	0.316245	-1.8509404
8	PI3K-1	train1	PREDICTED	0.9377943	0.7012579	0.9999914	2.0160596
9	PI3K-2	train1	PREDICTED	0.9571117	0.7501457	1.0	2.9097007
10	PI3K-4	train1	PREDICTED	0.952238	0.7405176	0.9999998	2.343222
11	PI3K-5	train1	PREDICTED	0.9558469	0.7513232	0.9999995	2.4447857
12	PI3K-6	train1	PREDICTED	0.9691015	0.7670493	1.0	3.055077
13	PI3K-7	train1	PREDICTED	0.9477087	0.7043295	1.0	2.5209756
14	PI3K-8	train1	PREDICTED	0.9812622	0.8452161	1.0	5.2688494
15	PI3K-9	train1	PREDICTED	0.9310221	0.6779498	0.9999681	1.8987488
16	PI3K-10	train1	PREDICTED	0.9702182	0.7694402	1.0	3.161987
17	184A1	test	PREDICTED	0.190073	0.0007813	0.4718044	-1.1031937
18	184B5	test	PREDICTED	0.159509	7.38e-05	0.4421124	-1.3305375
19	21MT1	test	PREDICTED	0.2764865	0.0266429	0.5360149	-0.6384773
20	21MT2	test	PREDICTED	0.2842602	0.0313828	0.5404439	-0.6062191
21	21NT	test	PREDICTED	0.3350501	0.0837097	0.5711009	-0.4204199
22	21PT	test	PREDICTED	0.3270767	0.0763215	0.5655264	-0.4471954
23	600MPE	test	PREDICTED	0.4223688	0.1734224	0.6323155	-0.1618727
24	AU565	test	PREDICTED	0.8630324	0.6035119	1.0	1.7039749
25	BT474	test	PREDICTED	0.885912	0.6284455	1.0	1.9343127
26	BT483	test	PREDICTED	0.6228632	0.3546191	0.9386064	0.4002691
27	BT549	test	PREDICTED	0.7249973	0.4566189	0.997076	0.8019418
28	CAMA1	test	PREDICTED	0.8902531	0.6335435	1.0	1.9830556
29	EFM192A	test	PREDICTED	0.8898859	0.6331055	1.0	1.9788596
30	EFM192B	test	PREDICTED	0.8963395	0.6409991	1.0	2.0547204
31	EFM192C	test	PREDICTED	0.9146251	0.6685946	1.0	2.298918
32	HCC1143	test	PREDICTED	0.1625353	9.7e-05	0.4449631	-1.3060949
33	HCC1395	test	PREDICTED	0.857116	0.598062	1.0	1.6504108
34	HCC1419	test	PREDICTED	0.8659969	0.6060852	1.0	1.731641
35	HCC1428	test	PREDICTED	0.8808116	0.6225169	1.0	1.8793211
36	HCC1569	test	PREDICTED	0.6866362	0.4162884	0.9874915	0.6333395
37	HCC1599	test	PREDICTED	0.4318642	0.1811732	0.6404469	-0.136131
38	HCC1806	test	PREDICTED	0.1836408	0.000494	0.4665453	-1.1476686
39	HCC1937	test	PREDICTED	0.1452681	1.7e-05	0.4310394	-1.4522381
40	HCC1954	test	PREDICTED	0.2483973	0.0127434	0.5223358	-0.7661814
41	HCC202	test	PREDICTED	0.6159123	0.3483617	0.9300998	0.3776152
42	HCC2218	test	PREDICTED	0.751037	0.4779634	0.9992096	0.9319591
43	HCC3153	test	PREDICTED	0.2036873	0.0017662	0.484795	-1.0143204
44	HCC38	test	PREDICTED	0.7687566	0.4991389	0.9997192	1.0287539
45	HCC70	test	PREDICTED	0.3278812	0.0770295	0.5660064	-0.4444594
46	HS578T	test	PREDICTED	0.661891	0.3863629	0.974091	0.5368437
47	JIMT1	test	PREDICTED	0.5054369	0.2498035	0.7307918	0.0593662
48	LY2	test	PREDICTED	0.847639	0.5872248	0.9999998	1.5687945
49	MB157	test	PREDICTED	0.1114182	1e-07	0.3841575	-1.7982472
50	MCF10A	test	PREDICTED	0.2232484	0.0048112	0.5063288	-0.8980855
51	MCF10F	test	PREDICTED	0.062063	0.0	0.3090439	-2.5816743
52	MCF12A	test	PREDICTED	0.4310697	0.1804264	0.6390472	-0.1382753
53	MCF7	test	PREDICTED	0.8812491	0.6230359	1.0	1.8839466
54	MDAMB134VI	test	PREDICTED	0.7985166	0.5343308	0.9999681	1.2088644
55	MDAMB175	test	PREDICTED	0.464579	0.2143002	0.6773972	-0.0488841
56	MDAMB231	test	PREDICTED	0.5556161	0.2990088	0.8287797	0.1965164
57	MDAMB361	test	PREDICTED	0.7627788	0.4935441	0.9995948	0.995293
58	MX1	test	PREDICTED	0.1523673	3.61e-05	0.4369625	-1.390134
59	SKBR3	test	PREDICTED	0.8616849	0.6023579	1.0	1.691586
60	SUM1315	test	PREDICTED	0.8629206	0.6034157	1.0	1.7029421
61	SUM149PT	test	PREDICTED	0.2279374	0.0060056	0.5109702	-0.8720755
62	SUM225CWN	test	PREDICTED	0.4357461	0.1855427	0.6446917	-0.125677
63	SUM229PE	test	PREDICTED	0.2915673	0.0365836	0.5460546	-0.5769612
64	SUM52PE	test	PREDICTED	0.5558935	0.2992078	0.8293915	0.1972996
65	T47D	test	PREDICTED	0.8132462	0.5474127	0.9999919	1.3074522
66	T47D Kbluc	test	PREDICTED	0.797728	0.5336987	0.999966	1.2037762
67	UACC812	test	PREDICTED	0.8526851	0.5921431	0.9999999	1.6116426
68	UACC893	test	PREDICTED	0.8148262	0.5488012	0.9999931	1.3184498
69	ZR751	test	PREDICTED	0.8708834	0.6111578	1.0	1.7785403
70	ZR7530	test	PREDICTED	0.7030126	0.4352979	0.9928001	0.7022557
71	ZR75B	test	PREDICTED	0.9194344	0.6764123	1.0	2.3722105
